invoice_number,client,ruc,description,issue_date,due_date,amount,vat,total,paid
E001-178,Fuso,20430500521,Edición Video P.Ruta Trujillo,2025-01-02 00:00:00+00,2025-02-02 00:00:00+00,541.6,18,639.088,0
E001-179,Fuso,20430500521,Edición Video MF100 Cusco,2025-01-02 00:00:00+00,2025-02-02 00:00:00+00,400,18,472,472
E001-180,Asei,20552213832,Registro de Fotografía,2025-01-27 00:00:00+00,2025-01-31 00:00:00+00,500,18,590,0
E001-181,Salesl. Pacific.,20543323862,Registro y Edición,2025-01-29 00:00:00+00,2025-01-31 00:00:00+00,932.2,18,1099.996,0
E001-182,Carbono,20603329075,Registros y Ediciones Enero,2025-01-29 00:00:00+00,2025-02-07 00:00:00+00,5500,18,6490,0
E001-183,Fuso,20430500521,Registro de Fotografía,2025-02-04 00:00:00+00,2025-03-04 00:00:00+00,500,18,590,0
E001-184,Dreams T.,20612114821,Edición y Registro Video,2025-02-05 00:00:00+00,2025-02-14 00:00:00+00,1800,18,2124,0
E001-185,Asei,20552213832,Registro de Fotografía,2025-02-11 00:00:00+00,2025-02-28 00:00:00+00,500,18,590,0
E001-186,Fuso,20430500521,Edición Píldoras Truj. Mf100,2025-02-12 00:00:00+00,2025-03-12 00:00:00+00,400,18,472,0
E001-187,Carbono,20603329075,Registros y Ediciones Febrero,2025-02-25 00:00:00+00,2025-02-28 00:00:00+00,5500,18,6490,0
E001-188,MonkeyFit,20602894526,Edición de Video,2025-03-03 00:00:00+00,2025-03-14 00:00:00+00,450,18,531,0
E001-189,MonkeyFit,20602894526,Registro y Edición,2025-03-03 00:00:00+00,2025-03-14 00:00:00+00,750,18,885,0
E001-190,Dreams T.,20612114821,Edición y Registro Video,2025-03-05 00:00:00+00,2025-03-15 00:00:00+00,1800,18,2124,0
E001-191,Asei,20552213832,Registro de Fotografía,2025-03-11 00:00:00+00,2025-03-31 00:00:00+00,500,18,590,0
E001-192,Fuso,20430500521,Edición Experiencia Cusco,2025-03-14 00:00:00+00,2025-04-14 00:00:00+00,400,18,472,0
E001-193,Fuso,20430500521,Ediciones Pantallas Fuso,2025-03-14 00:00:00+00,2025-04-14 00:00:00+00,250,18,295,0
E001-194,Carbono,20603329075,Registros y Ediciones Marzo,2025-03-26 00:00:00+00,2025-03-31 00:00:00+00,5500,18,6490,0
